feature_type,z,omega,omega_model,sigma,variance_model,sigma_err,sigma_err_plus,sigma_err_minus,phase,chi2,chi2_red,n_signal_pairs,n_variance_pairs,k_min,k_max
log,1.0,1.26,18.197008586099834,7.984243833011163,log_poly3,0.016978348741433003,0.017008742863007242,0.016947954619858763,0.0,899.4566883956848,1.4322558732415362,1,4,0.049848472848211554,0.5967092612435556
log,0.0,1.26,18.197008586099834,12.782647845277241,log_poly3,0.05795261389212847,0.05813653638947436,0.05776869139478258,0.0,584.404453266863,0.9305803395969157,1,4,0.049848472848211554,0.5967092612435556
log,5.0,1.5,31.622776601683793,2.915504002878698,log_poly3,0.002794443589245743,0.0027942211539428996,0.0027946660245485866,0.0,1454.7746623071857,2.3165201629095313,1,4,0.049848472848211554,0.5967092612435556
log,4.0,1.5,31.622776601683793,3.493754508294172,log_poly3,0.0033289851945355053,0.0033293050573139915,0.003328665331757019,0.0,1435.421742635131,2.2857034118393806,1,4,0.049848472848211554,0.5967092612435556
log,3.0,1.5,31.622776601683793,4.350396125797297,log_poly3,0.004314798897977479,0.004316259297067582,0.004313338498887376,0.0,1390.6030262199383,2.2143360290126406,1,4,0.049848472848211554,0.5967092612435556
log,2.0,1.5,31.622776601683793,5.73931350708754,log_poly3,0.007284311201361859,0.007290360442701704,0.007278261960022014,0.0,1248.1009623548352,1.9874219145777632,1,4,0.049848472848211554,0.5967092612435556
log,1.0,1.5,31.622776601683793,8.248065115202534,log_poly3,0.017667578618540958,0.017699155445280113,0.017636001791801803,0.0,1060.466634452632,1.6886411376634267,1,4,0.049848472848211554,0.5967092612435556
log,0.0,1.5,31.622776601683793,12.85905632589382,log_poly3,0.05834565751611365,0.05853003573430371,0.058161279297923585,0.0,787.2581825521578,1.2535958320894232,1,4,0.049848472848211554,0.5967092612435556
log,5.0,2.0,100.0,2.983732889859354,log_poly3,0.0027405328904031023,0.002740419070025979,0.0027406467107802257,0.0,825.8314994618204,1.315018311244937,1,4,0.049848472848211554,0.5967092612435556
log,4.0,2.0,100.0,3.5593854672568344,log_poly3,0.00329073159436577,0.0032910710438165403,0.0032903921449149998,0.0,812.7163146996829,1.2941342590759282,1,4,0.049848472848211554,0.5967092612435556
log,3.0,2.0,100.0,4.4081929924012115,log_poly3,0.004292886216930469,0.004294366018045004,0.004291406415815935,0.0,825.754863950774,1.3148962801763917,1,4,0.049848472848211554,0.5967092612435556
log,2.0,2.0,100.0,5.759148997814922,log_poly3,0.007221597693616744,0.007227529434298496,0.007215665952934991,0.0,821.9589802945884,1.3088518794499815,1,4,0.049848472848211554,0.5967092612435556
log,1.0,2.0,100.0,8.150921395474775,log_poly3,0.017113746623765635,0.01714268484487036,0.01708480840266091,0.0,772.6819503995221,1.2303852713368186,1,4,0.049848472848211554,0.5967092612435556
log,0.0,2.0,100.0,12.445587382903017,log_poly3,0.055168137828980335,0.05534153449013779,0.05499474116782288,0.0,628.5507137399732,1.0008769327069635,1,4,0.049848472848211554,0.5967092612435556
